Model,training,sub-sample,solver,Rank,BIC,Ntotal,p1,v1,p2,v2
Tuzet,wet,1.0,differential_evolution,5,445.465929,96135.0,g1T,3.13456641,PrefT,-2.9712847
Tuzet,wet,1.0,basinhopping,4,445.415467,4056375.0,g1T,3.13399118,PrefT,-2.95730706
Tuzet,wet,1.0,Nelder-Mead,1,444.985073,35090.0,g1T,3.13458036,PrefT,-2.9665472
Tuzet,wet,1.0,Powell,2,445.320801,30015.0,g1T,3.12738061,PrefT,-2.95853864
Tuzet,wet,1.0,COBYLA,7,447.593338,12905.0,g1T,3.1262125,PrefT,-2.98732008
Tuzet,wet,1.0,dual_annealing,3,445.321985,678455.0,g1T,3.12738061,PrefT,-2.95323077
Tuzet,wet,1.0,ampgo,6,445.487586,4426560.0,g1T,3.13406651,PrefT,-2.99649491
WUE-LWP,wet,1.0,differential_evolution,3,854.928561,19865.0,Lambda,8.43619567,,
WUE-LWP,wet,1.0,basinhopping,5,855.133925,43935.0,Lambda,8.41397868,,
WUE-LWP,wet,1.0,Nelder-Mead,3,854.928561,5075.0,Lambda,8.4332084,,
WUE-LWP,wet,1.0,Powell,6,856.218229,10875.0,Lambda,8.3520524,,
WUE-LWP,wet,1.0,COBYLA,3,854.928561,3335.0,Lambda,8.43400976,,
WUE-LWP,wet,1.0,dual_annealing,1,854.778179,292755.0,Lambda,8.49940076,,
WUE-LWP,wet,1.0,ampgo,7,1190.04262,580870.0,Lambda,18.3808436,,
CAP,wet,2.0,differential_evolution,1,535.472824,187050.0,krlC,1.76740329,PcritC,-3.21296622
CAP,wet,2.0,basinhopping,2,537.302658,4622600.0,krlC,1.29127044,PcritC,-4.49994673
CAP,wet,2.0,Nelder-Mead,3,539.394314,25955.0,krlC,1.78319013,PcritC,-3.2046051
CAP,wet,2.0,Powell,5,544.859216,15080.0,krlC,1.88690094,PcritC,-3.05223846
CAP,wet,2.0,COBYLA,6,553.766231,4350.0,krlC,2.27736104,PcritC,-2.46447516
CAP,wet,2.0,dual_annealing,4,542.837973,767195.0,krlC,6.31155414,PcritC,-0.8893574
CAP,wet,2.0,ampgo,7,2782.0763,3925005.0,krlC,99.957562,PcritC,-3.82139983
CGainNet,wet,2.0,differential_evolution,3,501.046921,26390.0,beta,7.69176246,,
CGainNet,wet,2.0,basinhopping,2,496.194087,43935.0,beta,7.69123699,,
CGainNet,wet,2.0,Nelder-Mead,5,503.333656,4205.0,beta,6.96980339,,
CGainNet,wet,2.0,Powell,4,501.047025,7395.0,beta,7.69235661,,
CGainNet,wet,2.0,COBYLA,1,474.304969,2610.0,beta,6.16804357,,
CGainNet,wet,2.0,dual_annealing,6,518.120473,291015.0,beta,7.76333272,,
CGainNet,wet,2.0,ampgo,7,518.958609,1051540.0,beta,10.3258565,,
CMax,wet,2.0,differential_evolution,2,860.355062,48285.0,Alpha,12.2196048,Beta,7.63680246
CMax,wet,2.0,basinhopping,6,862.866572,58580.0,Alpha,8.74193389,Beta,3.03543742
CMax,wet,2.0,Nelder-Mead,4,861.209157,7975.0,Alpha,9.94044584,Beta,5.03760062
CMax,wet,2.0,Powell,5,861.271605,19430.0,Alpha,9.8637783,Beta,4.79624685
CMax,wet,2.0,COBYLA,3,861.138007,4785.0,Alpha,9.11441883,Beta,4.83180349
CMax,wet,2.0,dual_annealing,1,860.181195,584495.0,Alpha,12.1298277,Beta,7.57908819
CMax,wet,2.0,ampgo,7,1067.66317,532875.0,Alpha,37.0984325,Beta,7.36643739
LeastCost,wet,2.0,differential_evolution,5,558.186824,103965.0,kmaxLC,0.42793993,BoA,95.6832264
LeastCost,wet,2.0,basinhopping,4,557.984711,4735410.0,kmaxLC,0.42794392,BoA,95.1782603
LeastCost,wet,2.0,Nelder-Mead,2,557.58691,18560.0,kmaxLC,0.42407687,BoA,99.2756421
LeastCost,wet,2.0,Powell,6,558.779405,20880.0,kmaxLC,0.42688817,BoA,98.9035387
LeastCost,wet,2.0,COBYLA,3,557.896236,5220.0,kmaxLC,0.42385113,BoA,99.3487656
LeastCost,wet,2.0,dual_annealing,1,556.439823,850280.0,kmaxLC,0.42730143,BoA,95.155028
LeastCost,wet,2.0,ampgo,7,559.840636,2648715.0,kmaxLC,0.43275696,BoA,97.2435002
MES,wet,2.0,differential_evolution,6,556.389957,213585.0,krlM,3.86472512,PcritM,-0.96826292
MES,wet,2.0,basinhopping,2,532.994247,5041940.0,krlM,0.86008051,PcritM,-4.37480425
MES,wet,2.0,Nelder-Mead,1,530.485849,27840.0,krlM,1.17188689,PcritM,-3.27841726
MES,wet,2.0,Powell,4,536.511266,39295.0,krlM,1.17798916,PcritM,-3.29386777
MES,wet,2.0,COBYLA,7,570.108512,4930.0,krlM,1.20547884,PcritM,-3.2161494
MES,wet,2.0,dual_annealing,5,542.633379,733700.0,krlM,1.98944334,PcritM,-1.89912004
MES,wet,2.0,ampgo,3,536.034784,2650020.0,krlM,0.86964941,PcritM,-4.3775039
ProfitMax,wet,2.0,differential_evolution,3,559.787468,73515.0,kmax,0.88734081,,
ProfitMax,wet,2.0,basinhopping,6,559.956201,3550905.0,kmax,0.88723551,,
ProfitMax,wet,2.0,Nelder-Mead,2,559.787411,7975.0,kmax,0.88734045,,
ProfitMax,wet,2.0,Powell,1,559.787409,13485.0,kmax,0.88734044,,
ProfitMax,wet,2.0,COBYLA,7,590.682292,3480.0,kmax,0.83780376,,
ProfitMax,wet,2.0,dual_annealing,5,559.818681,332195.0,kmax,0.89210337,,
ProfitMax,wet,2.0,ampgo,4,559.818677,2458910.0,kmax,0.96103559,,
SOX-OPT,wet,2.0,differential_evolution,3,591.264754,52635.0,kmaxS2,0.54244184,ksc_prev,0.42666683
SOX-OPT,wet,2.0,basinhopping,6,594.271042,59740.0,kmaxS2,0.55253138,ksc_prev,0.40924623
SOX-OPT,wet,2.0,Nelder-Mead,4,591.398561,9715.0,kmaxS2,0.54260054,ksc_prev,0.35626134
SOX-OPT,wet,2.0,Powell,1,590.656413,11600.0,kmaxS2,0.54322878,ksc_prev,0.40914343
SOX-OPT,wet,2.0,COBYLA,5,592.352608,5075.0,kmaxS2,0.54301948,ksc_prev,0.33532149
SOX-OPT,wet,2.0,dual_annealing,1,590.656413,589280.0,kmaxS2,0.54323576,ksc_prev,0.41066452
SOX-OPT,wet,2.0,ampgo,7,877.983225,626400.0,kmaxS2,0.35822683,ksc_prev,0.2902622
SOX,wet,2.0,differential_evolution,2,624.04724,25375.0,kmaxS1,0.30530241,,
SOX,wet,2.0,basinhopping,2,624.04724,3406050.0,kmaxS1,0.32947495,,
SOX,wet,2.0,Nelder-Mead,5,624.047241,4060.0,kmaxS1,0.30530904,,
SOX,wet,2.0,Powell,2,624.04724,7105.0,kmaxS1,0.32947494,,
SOX,wet,2.0,COBYLA,6,624.048575,3045.0,kmaxS1,0.30509019,,
SOX,wet,2.0,dual_annealing,2,624.04724,293915.0,kmaxS1,0.31142579,,
SOX,wet,2.0,ampgo,7,624.244445,585510.0,kmaxS1,0.34389681,,
