Model,training,sub-sample,solver,Rank,BIC,Ntotal,p1,v1,p2,v2
Tuzet,inter,3.0,basinhopping,4,750.693568,3689670.0,g1T,2.8831665,PrefT,-2.51065699
Tuzet,inter,3.0,Nelder-Mead,2,750.439379,23925.0,g1T,2.88071055,PrefT,-2.50947326
Tuzet,inter,3.0,Powell,6,752.513254,16530.0,g1T,2.91554345,PrefT,-2.53504644
Tuzet,inter,3.0,COBYLA,7,787.696626,15370.0,g1T,2.64139512,PrefT,-2.82688776
Tuzet,inter,3.0,dual_annealing,1,750.257168,914225.0,g1T,2.88071031,PrefT,-2.50745499
Tuzet,inter,3.0,ampgo,3,750.600259,4921155.0,g1T,2.86173129,PrefT,-2.43625906
WUE-LWP,inter,3.0,differential_evolution,4,900.745198,19865.0,Lambda,9.31528487,,
WUE-LWP,inter,3.0,basinhopping,6,901.231341,43935.0,Lambda,9.42859811,,
WUE-LWP,inter,3.0,Nelder-Mead,3,900.656833,4640.0,Lambda,9.33808434,,
WUE-LWP,inter,3.0,Powell,5,900.90346,10295.0,Lambda,9.41300253,,
WUE-LWP,inter,3.0,COBYLA,1,899.952243,3625.0,Lambda,9.32492265,,
WUE-LWP,inter,3.0,dual_annealing,2,900.600141,292755.0,Lambda,9.37104041,,
WUE-LWP,inter,3.0,ampgo,7,1128.09963,672510.0,Lambda,19.1316431,,
