Model,training,sub-sample,solver,Rank,BIC,Ntotal,p1,v1,p2,v2
SOX-OPT,inter,1.0,Nelder-Mead,4,858.417378,12172.0,kmaxS2,0.47973405,ksc_prev,0.32597184
SOX-OPT,inter,1.0,Powell,1,856.785327,21838.0,kmaxS2,0.47973422,ksc_prev,0.19043119
SOX-OPT,inter,1.0,dual_annealing,2,856.969368,739807.0,kmaxS2,0.47968499,ksc_prev,0.19035212
SOX-OPT,inter,2.0,Nelder-Mead,5,963.94224,11792.0,kmaxS2,0.39550523,ksc_prev,0.26200624
SOX-OPT,inter,2.0,Powell,2,963.576215,20944.0,kmaxS2,0.39910213,ksc_prev,0.18700436
SOX-OPT,inter,2.0,dual_annealing,1,963.553796,722128.0,kmaxS2,0.39756848,ksc_prev,0.1875862
SOX-OPT,inter,3.0,Nelder-Mead,4,979.463804,11926.0,kmaxS2,0.371124,ksc_prev,0.25223567
SOX-OPT,inter,3.0,Powell,1,979.067142,21360.0,kmaxS2,0.36492877,ksc_prev,0.18874041
SOX-OPT,inter,3.0,dual_annealing,2,979.199886,726596.0,kmaxS2,0.37165468,ksc_prev,0.18713126
Tuzet,wet,0.0,differential_evolution,2,2860.20452,569742.0,g1T,3.04910865,PrefT,-2.65916765
Tuzet,wet,0.0,Nelder-Mead,3,2860.47577,148260.0,g1T,3.05109584,PrefT,-2.69229436
Tuzet,wet,0.0,dual_annealing,1,2859.55886,4186580.0,g1T,3.04944116,PrefT,-2.64605538
Tuzet,wet,1.0,differential_evolution,2,730.555461,238428.0,g1T,3.08433722,PrefT,-2.56199559
Tuzet,wet,1.0,Nelder-Mead,3,731.045625,35979.0,g1T,3.08099601,PrefT,-2.60198226
Tuzet,wet,1.0,dual_annealing,1,730.363827,1104430.0,g1T,3.08522868,PrefT,-2.55240226
Tuzet,wet,2.0,differential_evolution,2,733.973493,246048.0,g1T,2.97915412,PrefT,-2.72860604
Tuzet,wet,2.0,Nelder-Mead,7,747.451899,37840.0,g1T,2.94401261,PrefT,-3.07918326
Tuzet,wet,2.0,dual_annealing,1,733.43161,1108624.0,g1T,2.98334956,PrefT,-2.68351194
Tuzet,wet,3.0,differential_evolution,2,746.282101,153258.0,g1T,3.07268271,PrefT,-2.70286151
