Model,training,sub-sample,solver,Rank,BIC,Ntotal,p1,v1,ci1,p2,v2,ci2
LeastCost,inter,2.0,dual_annealing,1,857.917727,1163536.0,kmaxLC,0.38202963,0.00724925,Eta,4.83733675,0.24064635
LeastCost,inter,3.0,differential_evolution,3,813.488583,198114.0,kmaxLC,0.35876244,0.00623469,Eta,4.27698043,0.25913745
LeastCost,inter,3.0,Nelder-Mead,5,816.076646,22072.0,kmaxLC,0.35616512,0.00592045,Eta,4.43937656,0.27113215
LeastCost,inter,3.0,dual_annealing,1,813.302601,920438.0,kmaxLC,0.36244106,0.00592043,Eta,4.57953348,0.1390261
MES,wet,0.0,differential_evolution,2,3296.04926,976398.0,krlM,1.73636656,0.04505196,PcritM,-2.20512981,0.05935262
MES,wet,0.0,basinhopping,5,3312.27844,22893462.0,krlM,1.16441694,,PcritM,-3.28081793,
MES,wet,0.0,dual_annealing,1,3279.94085,4402616.0,krlM,1.18762693,0.00956578,PcritM,-3.2720349,0.00672808
MES,wet,1.0,differential_evolution,1,862.20627,188487.0,krlM,1.18820516,0.0277404,PcritM,-3.26395697,0.07498617
MES,wet,1.0,basinhopping,5,875.64556,6190357.0,krlM,0.88003553,0.01720691,PcritM,-4.35306419,0.02067854
MES,wet,1.0,dual_annealing,4,872.34899,1049656.0,krlM,2.51469764,0.06732749,PcritM,-1.48105009,0.04568263
MES,wet,2.0,differential_evolution,1,806.963925,256080.0,krlM,2.14074459,0.14759812,PcritM,-1.8905422,0.12934616
MES,wet,2.0,basinhopping,3,811.52814,5932608.0,krlM,1.45079633,0.04286831,PcritM,-2.64856931,0.07342202
MES,wet,2.0,dual_annealing,2,809.504794,1043152.0,krlM,1.79773122,0.02900118,PcritM,-2.1978038,0.00943166
MES,wet,3.0,differential_evolution,1,841.86523,198114.0,krlM,1.43380029,,PcritM,-2.64152898,
MES,wet,3.0,basinhopping,5,858.178357,6010704.0,krlM,0.90419766,,PcritM,-4.37725404,
MES,wet,3.0,dual_annealing,2,846.820493,1025636.0,krlM,1.13503624,0.01955189,PcritM,-3.30255228,0.01269429
MES,inter,0.0,differential_evolution,1,3330.01756,595158.0,krlM,3.94369896,0.08627433,PcritM,-0.90190371,0.01516479
MES,inter,0.0,basinhopping,3,3346.66923,15430336.0,krlM,5.29174755,0.06411678,PcritM,-0.68698998,0.00464744
MES,inter,0.0,dual_annealing,2,3334.99457,4161164.0,krlM,3.99342185,0.06513912,PcritM,-0.89706852,0.01096799
MES,inter,1.0,differential_evolution,1,854.937464,233595.0,krlM,1.13678295,,PcritM,-3.27595349,
MES,inter,1.0,basinhopping,4,862.10402,5883551.0,krlM,1.12256918,,PcritM,-3.27339089,
MES,inter,1.0,dual_annealing,3,861.128476,1077043.0,krlM,1.867261,0.04386041,PcritM,-1.8946961,0.03641321
MES,inter,2.0,differential_evolution,1,802.603257,210672.0,krlM,4.91683743,0.09395001,PcritM,-0.73779488,0.00325671
MES,inter,2.0,basinhopping,4,815.87444,4561920.0,krlM,4.86127703,0.10735884,PcritM,-0.74455976,0.00747596
MES,inter,2.0,dual_annealing,2,803.344194,810832.0,krlM,4.78900433,0.09349301,PcritM,-0.74767513,0.00748526
MES,inter,3.0,differential_evolution,1,839.747266,219474.0,krlM,4.59316398,0.14353145,PcritM,-0.76372605,0.01591508
MES,inter,3.0,basinhopping,3,843.716986,5886816.0,krlM,3.64335356,0.11209678,PcritM,-0.95461382,0.02426143
MES,inter,3.0,dual_annealing,2,843.310263,1170884.0,krlM,4.44843412,0.15939918,PcritM,-0.79173457,0.02124418
ProfitMax,wet,0.0,differential_evolution,3,3385.84322,326172.0,kmax,0.87170221,0.00663018,,,
ProfitMax,wet,0.0,basinhopping,2,3370.9093,20070168.0,kmax,0.88675905,0.00686918,,,
ProfitMax,wet,0.0,dual_annealing,4,3389.02599,1825010.0,kmax,0.91798014,0.00731867,,,
ProfitMax,wet,1.0,differential_evolution,2,885.658924,83593.0,kmax,0.84865358,0.01418893,,,
ProfitMax,wet,1.0,basinhopping,1,881.389592,4429176.0,kmax,0.89612654,0.01248365,,,
ProfitMax,wet,1.0,dual_annealing,3,889.60533,489923.0,kmax,0.85381455,0.01225132,,,
ProfitMax,wet,2.0,differential_evolution,4,802.251016,96272.0,kmax,0.89033958,0.01265544,,,
ProfitMax,wet,2.0,basinhopping,3,801.850234,4089360.0,kmax,0.89071786,0.01292723,,,
ProfitMax,wet,2.0,dual_annealing,2,799.479766,428560.0,kmax,0.90877519,0.01285326,,,
ProfitMax,wet,3.0,differential_evolution,1,850.070769,89712.0,kmax,0.88805953,0.01354186,,,
ProfitMax,wet,3.0,basinhopping,2,850.073869,4876666.0,kmax,0.93654045,0.01338806,,,
ProfitMax,wet,3.0,dual_annealing,3,850.077527,528482.0,kmax,0.90546743,0.01247843,,,
ProfitMax,inter,0.0,differential_evolution,4,3654.12661,242864.0,kmax,0.72163739,0.0081289,,,
ProfitMax,inter,0.0,basinhopping,2,3641.80337,19172842.0,kmax,0.77862156,0.00806567,,,
ProfitMax,inter,0.0,dual_annealing,3,3642.01286,1707814.0,kmax,0.74996114,0.00604101,,,
ProfitMax,inter,1.0,differential_evolution,3,862.012003,71958.0,kmax,0.79715281,0.01258883,,,
ProfitMax,inter,1.0,basinhopping,4,863.302459,4693559.0,kmax,0.87589187,0.01333351,,,
ProfitMax,inter,1.0,dual_annealing,1,860.306818,454839.0,kmax,0.86949732,0.01234889,,,
ProfitMax,inter,2.0,differential_evolution,2,866.78616,57552.0,kmax,0.74787714,0.01488557,,,
ProfitMax,inter,2.0,basinhopping,3,867.731507,4296512.0,kmax,0.79232734,0.01486377,,,
ProfitMax,inter,2.0,dual_annealing,4,874.301566,485584.0,kmax,0.77983749,0.01474709,,,
ProfitMax,inter,3.0,differential_evolution,1,860.666341,63546.0,kmax,0.72693409,0.01271554,,,
ProfitMax,inter,3.0,basinhopping,2,860.667499,4625864.0,kmax,0.7707319,0.01330877,,,
ProfitMax,inter,3.0,dual_annealing,3,862.559613,434854.0,kmax,0.74245285,0.01295409,,,
ProfitMax2,wet,0.0,basinhopping,2,2080.3833,17057666.0,kmax2,1.98812109,0.00863559,,,
ProfitMax2,wet,0.0,Nelder-Mead,1,2079.44032,51538.0,kmax2,1.98808575,0.00872229,,,
ProfitMax2,wet,0.0,dual_annealing,3,2080.59216,1593442.0,kmax2,2.01523459,0.00846633,,,
ProfitMax2,wet,1.0,basinhopping,3,477.272805,4389259.0,kmax2,1.98747505,0.01447202,,,
ProfitMax2,wet,1.0,Nelder-Mead,1,477.266834,11814.0,kmax2,1.98743724,0.01450993,,,
ProfitMax2,wet,1.0,dual_annealing,5,481.649677,443383.0,kmax2,2.01456253,0.01384445,,,
ProfitMax2,wet,2.0,basinhopping,5,518.399625,4141280.0,kmax2,1.91208873,0.01684045,,,
ProfitMax2,wet,2.0,Nelder-Mead,4,515.604623,14080.0,kmax2,1.89495367,0.01684164,,,
ProfitMax2,wet,2.0,dual_annealing,2,514.001644,483472.0,kmax2,1.92293796,0.01316254,,,
ProfitMax2,wet,3.0,basinhopping,2,523.352408,4415646.0,kmax2,1.92744552,0.01617552,,,
ProfitMax2,wet,3.0,Nelder-Mead,4,534.895248,14240.0,kmax2,2.02863336,0.01801084,,,
ProfitMax2,wet,3.0,dual_annealing,1,519.338396,413850.0,kmax2,1.95461306,0.01545599,,,
ProfitMax2,inter,0.0,basinhopping,3,3477.93756,16437798.0,kmax2,1.46958296,0.01958583,,,
ProfitMax2,inter,0.0,Nelder-Mead,1,3473.33457,54362.0,kmax2,1.53135556,0.02001796,,,
ProfitMax2,inter,0.0,dual_annealing,2,3473.86914,1665454.0,kmax2,1.49642662,0.01877041,,,
ProfitMax2,inter,1.0,basinhopping,3,582.142578,4475895.0,kmax2,1.85657174,0.01915688,,,
ProfitMax2,inter,1.0,Nelder-Mead,5,613.149414,14499.0,kmax2,1.74405707,0.02014324,,,
ProfitMax2,inter,1.0,dual_annealing,1,576.441514,396843.0,kmax2,1.90110547,0.01910502,,,
ProfitMax2,inter,2.0,basinhopping,3,824.841972,4408976.0,kmax2,1.48273827,0.03465388,,,
ProfitMax2,inter,2.0,Nelder-Mead,1,824.789969,13024.0,kmax2,1.43147681,0.03297618,,,
ProfitMax2,inter,2.0,dual_annealing,5,824.882922,393360.0,kmax2,1.50613027,0.03256072,,,
ProfitMax2,inter,3.0,basinhopping,3,820.627848,4387522.0,kmax2,1.55350492,0.0340186,,,
ProfitMax2,inter,3.0,Nelder-Mead,5,832.325999,14062.0,kmax2,1.44026649,0.03523188,,,
ProfitMax2,inter,3.0,dual_annealing,2,820.449215,469386.0,kmax2,1.58936945,0.02683195,,,
SOX-OPT,wet,0.0,differential_evolution,5,3266.85235,107312.0,kmaxS2,0.87211597,0.00652598,,,
SOX-OPT,wet,0.0,dual_annealing,3,3264.42535,1428238.0,kmaxS2,0.88786845,0.00627176,,,
SOX-OPT,wet,0.0,ampgo,4,3264.96931,4790916.0,kmaxS2,0.72341234,0.00652613,,,
SOX-OPT,wet,1.0,differential_evolution,2,864.626002,35263.0,kmaxS2,0.85599494,0.01416778,,,
SOX-OPT,wet,1.0,dual_annealing,3,864.817518,363907.0,kmaxS2,0.87272018,0.01258464,,,
SOX-OPT,wet,1.0,ampgo,1,864.438475,1356820.0,kmaxS2,1.03833242,0.01384595,,,
SOX-OPT,wet,2.0,differential_evolution,2,790.094213,42592.0,kmaxS2,0.89968743,0.01246015,,,
SOX-OPT,wet,2.0,dual_annealing,1,789.063812,355696.0,kmaxS2,0.92604993,0.01200927,,,
SOX-OPT,wet,2.0,ampgo,6,795.138319,1107392.0,kmaxS2,1.13126973,0.01247985,,,
SOX-OPT,wet,3.0,differential_evolution,1,838.241613,51086.0,kmaxS2,0.86570689,0.01316277,,,
SOX-OPT,wet,3.0,dual_annealing,3,841.033477,360450.0,kmaxS2,0.8821516,0.01345784,,,
SOX-OPT,wet,3.0,ampgo,4,841.947968,1521544.0,kmaxS2,1.06342797,0.01352018,,,
SOX-OPT,inter,0.0,differential_evolution,6,3620.57817,75542.0,kmaxS2,0.72579414,0.00826278,,,
SOX-OPT,inter,0.0,dual_annealing,2,3613.10427,1426826.0,kmaxS2,0.75589709,0.00770878,,,
SOX-OPT,inter,0.0,ampgo,4,3614.27971,5842856.0,kmaxS2,0.627761,0.00819911,,,
SOX-OPT,inter,1.0,differential_evolution,3,851.197179,32578.0,kmaxS2,0.81925077,0.01337319,,,
SOX-OPT,inter,1.0,dual_annealing,2,850.585084,361401.0,kmaxS2,0.82014523,0.01242612,,,
SOX-OPT,inter,1.0,ampgo,1,849.997332,1749188.0,kmaxS2,0.67260538,0.01326893,,,
SOX-OPT,inter,2.0,differential_evolution,3,869.861917,26752.0,kmaxS2,0.74064293,0.01499944,,,
SOX-OPT,inter,2.0,dual_annealing,4,870.480656,356048.0,kmaxS2,0.74662824,0.0146534,,,
SOX-OPT,inter,2.0,ampgo,2,869.784857,1632928.0,kmaxS2,0.60544547,0.0147581,,,
SOX-OPT,inter,3.0,differential_evolution,5,864.341201,27056.0,kmaxS2,0.71867775,0.0136012,,,
SOX-OPT,inter,3.0,dual_annealing,2,862.629666,360450.0,kmaxS2,0.72011082,0.01320669,,,
SOX-OPT,inter,3.0,ampgo,1,862.567405,1510864.0,kmaxS2,0.87792078,0.01385665,,,
Tuzet,wet,0.0,Nelder-Mead,2,1840.72222,180030.0,g1T,3.28950743,0.00540006,PrefT,-2.61660642,0.00782791
Tuzet,wet,0.0,Powell,1,1815.7629,189914.0,g1T,3.32350641,0.00480013,PrefT,-2.5226173,0.00624128
Tuzet,wet,0.0,dual_annealing,4,2859.55886,4186580.0,g1T,3.04944116,0.00953434,PrefT,-2.64605538,0.03307148
Tuzet,wet,1.0,Nelder-Mead,3,436.102432,42602.0,g1T,3.39592593,0.00856705,PrefT,-2.49147738,0.00985039
Tuzet,wet,1.0,Powell,2,433.347866,46898.0,g1T,3.41250554,0.00824211,PrefT,-2.47764743,0.01443215
Tuzet,wet,1.0,dual_annealing,4,730.363827,1104430.0,g1T,3.08522868,0.0188881,PrefT,-2.55240226,0.05748073
Tuzet,wet,2.0,Nelder-Mead,1,457.747239,49808.0,g1T,3.28637147,0.00990879,PrefT,-2.61593185,0.01025831
Tuzet,wet,2.0,Powell,2,474.512339,36080.0,g1T,3.25622873,0.01059151,PrefT,-2.64886716,0.02262211
