output,driver,S1,S1_conf,ST,ST_conf,S2,S2_conf
gs(pmax2),VPD-Ps,,,,,0.03493868388877444,0.048230772679225056
gs(pmax2),CO2-Ps,,,,,0.0022562008695414526,0.0052104195305484585
gs(lcst),PPFD,0.00155064641594465,0.0012356726362386244,0.026318764491117107,0.00471998406553361,,
gs(lcst),Tair,0.058864162459121024,0.005419012179778098,0.28757408934037354,0.017247200383059384,,
gs(lcst),VPD,0.6404234748576408,0.02511142443379194,0.9393286853785311,0.02674874339213121,,
gs(lcst),CO2,0.006707101104102376,0.0032474464415685736,0.10127683922141427,0.007913228727577387,,
gs(lcst),Ps,0.005641285463584024,0.0013885689398850083,0.02286866576772785,0.001453156583223081,,
gs(lcst),PPFD-Tair,,,,,-0.0010331819101454323,0.0020228504133364277
gs(lcst),PPFD-VPD,,,,,-0.0008743290891453093,0.008543922810271465
gs(lcst),PPFD-CO2,,,,,-0.0013183731736256202,0.0018894880374605051
gs(lcst),PPFD-Ps,,,,,-0.001184360370334525,0.0018709366356302025
gs(lcst),Tair-VPD,,,,,0.19290898414763147,0.02468012825462796
gs(lcst),Tair-CO2,,,,,-0.0006965789440784124,0.007827930418509802
gs(lcst),Tair-Ps,,,,,0.0008852343631634398,0.007954533989833994
gs(lcst),VPD-CO2,,,,,0.048443893103416305,0.04489842903587525
gs(lcst),VPD-Ps,,,,,-0.008892858674352879,0.041666955960108935
gs(lcst),CO2-Ps,,,,,0.0007628032033334233,0.004988695780013429
gs(cap),PPFD,0.0003050210481754092,0.0008107748125844221,0.015953889985045534,0.009287101177566488,,
gs(cap),Tair,0.026307232221546475,0.002911355854675447,0.10563289820185279,0.009821203008681249,,
gs(cap),VPD,0.2563716319096617,0.012310878056079456,0.5022431836000041,0.02271647311336626,,
gs(cap),CO2,0.013060362435823057,0.002627150304545408,0.0807670438100302,0.0071587254097081185,,
gs(cap),Ps,0.41287009489146986,0.012188928802632499,0.6611506458468094,0.022284275330751828,,
gs(cap),PPFD-Tair,,,,,0.0010522895055504744,0.002188884485604595
gs(cap),PPFD-VPD,,,,,0.0022408374862397107,0.003700042959504394
gs(cap),PPFD-CO2,,,,,0.00024112322990858977,0.001688708345897133
gs(cap),PPFD-Ps,,,,,0.002498848321386471,0.0032219953409993066
gs(cap),Tair-VPD,,,,,0.02062220622162375,0.008633859042433769
gs(cap),Tair-CO2,,,,,9.603182020708617e-05,0.004956505533181424
gs(cap),Tair-Ps,,,,,0.027834716566778384,0.006980929740640921
gs(cap),VPD-CO2,,,,,0.02066787794651235,0.02588762840353134
gs(cap),VPD-Ps,,,,,0.15144958864878255,0.03358688239368563
gs(cap),CO2-Ps,,,,,0.01998333684411263,0.006436820346782946
gs(mes),PPFD,0.0009731728438587709,0.0006595559553878377,0.006148781785191353,0.00070620942102682,,
gs(mes),Tair,0.01334242983198493,0.002188679153549826,0.05714729910127697,0.0030789240849456337,,
gs(mes),VPD,0.3845832824077608,0.016511522745789764,0.6140242498876763,0.018397590449434884,,
gs(mes),CO2,0.000619555169593618,0.0011700879221217765,0.012843708377160642,0.0012761467796898241,,
gs(mes),Ps,0.35185262464768297,0.010197399264203521,0.5757849732380397,0.017438688700557127,,
gs(mes),PPFD-Tair,,,,,-6.687141444784717e-07,0.0010260629987735974
gs(mes),PPFD-VPD,,,,,0.0010934981483282091,0.002203453729945686
gs(mes),PPFD-CO2,,,,,-0.00018575406297055878,0.0009935612681162595
gs(mes),PPFD-Ps,,,,,0.00046298930190663556,0.0015196537849346437
gs(mes),Tair-VPD,,,,,0.01576751221450834,0.007524659260494859
gs(mes),Tair-CO2,,,,,-5.9726815284142135e-05,0.003394773044136692
gs(mes),Tair-Ps,,,,,0.01242544540234014,0.004455955735425433
gs(mes),VPD-CO2,,,,,0.0017967671793512811,0.02963840578700166
gs(mes),VPD-Ps,,,,,0.18666834043756686,0.03944508311212537
gs(mes),CO2-Ps,,,,,0.0015922111106504433,0.0025829599722887574
Ci(std1),PPFD,9.989143513684056e-06,3.828628523462744e-05,1.0286633549682015e-05,3.3792884557840515e-06,,
Ci(std1),Tair,0.04545333724656765,0.002745895615861817,0.07090022112048387,0.0015369706482451112,,
Ci(std1),VPD,0.07379875964310521,0.005038831258304453,0.16670809816289112,0.003603338038208519,,
Ci(std1),CO2,0.0643624794934203,0.004306330139819854,0.1878370518306035,0.004696859298243679,,
Ci(std1),Ps,0.5983157999010776,0.011548597586348646,0.803497328810203,0.01202017016822271,,
Ci(std1),PPFD-Tair,,,,,3.684301126544165e-07,4.3891653152046e-05
Ci(std1),PPFD-VPD,,,,,3.3316735135319187e-06,4.2913617994156236e-05
Ci(std1),PPFD-CO2,,,,,-9.339325507340401e-06,4.490064970182424e-05
Ci(std1),PPFD-Ps,,,,,-2.1037220397479572e-05,4.367459475945749e-05
Ci(std1),Tair-VPD,,,,,0.0005041807417122263,0.0036116785080300656
Ci(std1),Tair-CO2,,,,,0.0008981323588759665,0.0035149954313983336
Ci(std1),Tair-Ps,,,,,0.020948646443881946,0.0029961732859922767
Ci(std1),VPD-CO2,,,,,0.010607593394549988,0.009356629828330491
Ci(std1),VPD-Ps,,,,,0.07184524079488652,0.012322649110668653
Ci(std1),CO2-Ps,,,,,0.1018779675740662,0.010232615769560064
Ci(tuz),PPFD,0.007073381717167104,0.0012352235007271934,0.013833441646018574,0.0005743980170940597,,
Ci(tuz),Tair,0.11231614600322289,0.0035667695275887696,0.15865349757559263,0.0024256892124629717,,
