year,doy,hod,A,E,gs,gb,Pleaf,Tleaf
[-],[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[MPa],[deg C]
2001,135,11,9.63,6.62,0.41,2.84,-1.4,36.8
2001,135,11,5.36,3.11,0.13,2.84,-2.2,36.3
2001,135,13,9.99,5.14,0.72,2.84,-1.85,32.44
2001,135,13,5.19,5.04,0.18,2.84,-1.65,39.27
2001,135,13,4.56,2.82,0.08,2.84,-1.9,40.0
2001,135,13,7.52,4.54,0.21,2.84,-2.45,36.89
2001,135,13,3.8,3.16,0.1,2.84,-2.2,38.62
2001,135,13,6.99,3.21,0.24,2.84,-1.9,32.46
2001,135,13,7.01,2.77,0.14,2.84,-2.3,34.49
2001,135,13,3.26,3.59,0.11,2.84,-1.9,39.34
2001,135,13,2.51,2.46,0.06,2.84,-1.9,41.04
2001,135,13,6.08,3.09,0.09,2.84,-2.05,39.48
2001,135,13,5.07,2.85,0.08,2.84,-2.5,39.21
2001,135,13,6.17,3.12,0.09,2.84,-2.3,39.52
2001,135,15,2.0,1.88,0.07,2.84,-1.7,36.53
2001,135,15,6.27,2.55,0.09,2.84,-2.2,37.28
2001,135,15,6.27,2.55,0.09,2.84,-1.6,37.28
2001,135,15,6.33,3.29,0.13,2.84,-2.45,36.92
2001,135,15,7.39,3.98,0.14,2.84,-1.6,38.98
2001,135,15,6.37,4.79,0.2,2.84,-1.7,38.18
2001,135,15,8.78,4.19,0.18,2.84,-1.5,37.43
2001,135,15,5.07,4.85,0.21,2.84,-1.8,37.97
2001,135,15,8.78,4.19,0.18,2.84,-2.45,37.43
2001,135,15,5.19,2.6,0.1,2.84,-2.2,37.31
2001,135,15,5.19,2.6,0.1,2.84,-1.5,37.31
2001,135,15,3.25,2.02,0.08,2.84,-2.0,36.37
2001,135,17,1.12,0.38,0.02,2.84,-1.95,31.69
2001,135,17,2.41,1.33,0.13,2.84,-1.75,29.72
2001,135,17,1.69,0.52,0.03,2.84,-1.55,31.01
2001,135,17,7.39,3.98,0.14,2.84,-1.15,38.98
2001,135,17,2.6,0.45,0.03,2.84,-1.9,30.7
2001,135,17,2.87,0.78,0.04,2.84,-2.1,32.56
2001,135,17,8.29,1.67,0.11,2.84,-1.2,32.37
2001,135,17,6.06,1.69,0.1,2.84,-1.35,32.78
2001,135,17,5.07,4.85,0.21,2.84,-1.35,37.97
2001,135,17,3.36,0.53,0.03,2.84,-2.0,32.74
