,xpe,gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gs(std1),gs(std2),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),A(std1),A(std2),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),E(std1),E(std2)
day,vargb_insample_inter_inter,5.128667215917068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,vargb_insample_wet_wet,7.255743259680996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,highCa_inter_inter,3.493058448657617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,highCa_wet_wet,4.2254511484417545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,highD_inter_inter,3.886262460807647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,highD_wet_wet,5.889060226318069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,insample_dry_inter,4.943894338884718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,insample_dry_wet,6.280685131219473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,insample_inter_inter,5.930805868106787,44.794285813318574,67.09803911490056,58.16128325925415,64.98383328555963,69.6108843904168,60.10102052585883,62.72951128420793,71.94715350283671,37.32442117223819,37.478894591309256,,,13.880897611269976,9.666223999383096,16.241084101542018,15.516660933716143,15.699435575203491,16.51097720356514,15.43833515691189,16.01494847970432,17.514797516972703,-10.336821375948443,-6.790480880324874,,,50.17248981263468,44.79165676737192,67.09346383969361,58.15741544486479,64.97900066894596,69.60609017707847,60.0970610901687,62.725355193287115,71.94198880905725,37.32062138786702,37.47652013566479,,
mornNeve,insample_inter_wet,6.916572769731319,62.20322780276387,86.67240962510104,80.83138968365806,97.69692442130345,82.69408987200487,83.56035311998822,85.72921504957992,98.13737282280489,74.65005609313044,97.84903443100322,,,18.44039244017993,12.992500563485265,18.87199105041571,18.754915499967943,19.87682475412033,18.3542590678902,18.70277521488911,19.081639974694685,20.64817404708415,-6.204092769460352,0.039022361081206505,,,79.29847212748238,62.19914422566954,86.66581383514576,80.82522547202974,97.68892431309304,82.68794290668018,83.55407474613921,85.72268194434342,98.12922317114415,74.64482217993093,97.84116835239907,,
mornNeve,insample_wet_inter,5.213878132514682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,insample_wet_wet,7.241546530469904,29.665728806658816,36.558199905809886,-8.789035173468433,17.647822517611466,33.80563171676617,24.18274520002763,5.534978188338708,8.812056970795407,45.50915072052964,37.76633635477173,,,-0.009252168750996255,-1.0522619119451504,2.289251201758346,-1.43222309901188,1.405946717365109,2.007728913426291,1.7405626110293504,0.24195122453681872,0.9998733032942041,-7.629030231152602,-5.093863830117506,,,-0.7353063176767972,29.66309792663014,36.55526154009288,-8.788594122724582,17.646579628694965,33.802999729066045,24.180994981610418,5.534871879103076,8.811516354740844,45.504207754929595,37.76333936653492,,
mornNeve,vargb_insample_inter_inter,5.054704758112857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mornNeve,vargb_insample_wet_wet,6.726284977965985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,highCa_inter_inter,4.179885404830816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,highCa_wet_wet,5.4998601822278355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,highD_inter_inter,3.764500622838792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,highD_wet_wet,6.137131125981851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,insample_dry_inter,5.220377988580829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,insample_dry_wet,7.656835810755741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,insample_inter_inter,6.7953564714217585,56.8516194725311,57.52842903571811,99.47913128785572,55.28031566642715,60.869354923641794,62.05234660438127,80.87145790829238,62.89821042776348,23.04419916467114,8.314053325941373,,,24.56169074737087,21.364609023444377,25.575703630050032,37.31590679385248,24.567363808240163,26.64982858576487,27.015519589019725,32.62382245087952,27.094000575003395,-17.991155103550067,-16.309548181594664,,,54.50817118457182,56.848181937605126,57.52493038272253,99.4714696197218,55.276966380652546,60.8655761869747,62.04846421080303,80.86581594780647,62.89423333716322,23.042805496450537,8.31356205523858,,
arvo,insample_inter_wet,8.014498169016468,76.55252111376439,80.8105203382611,136.85059420040105,82.27036415693603,77.12793446470147,90.54981458680498,110.33173127417781,95.45796927431932,89.64232098304412,76.50367898341848,,,36.041094619868275,27.508195672803442,32.57366038674063,44.65241519914102,32.730552714172035,31.550441151958964,35.0771468532709,39.65862475955817,35.98653491502047,1.549391794149816,-0.5803084536715771,,,94.46184579260523,76.54731059924345,80.80488210760801,136.83807195846902,82.26451612482248,77.12266563178038,90.54315938513227,110.32277611598451,95.45073295422021,89.63576498150952,76.49846238910656,,
arvo,insample_wet_inter,5.51805247121168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,insample_wet_wet,8.05292269804581,11.709506605550642,1.539914563712701,11.134605757199928,-1.5138096096932916,-1.5780554076732962,3.4318090155080063,10.236269354006795,10.55344125101608,10.469508308422704,-0.14871260303085332,,,0.622939598333792,1.3296773737401157,0.25407242814698805,4.1650483594845475,-0.4166325655528694,-0.39171552679532423,0.5993065655508399,3.8998308813825115,2.048922731782946,-14.617979988140759,-13.742053278243866,,,1.3797160277070204,11.708586033735951,1.5397683948516994,11.133728237040248,-1.5137443411400697,-1.5779206069824674,3.4314845241194276,10.235477943050112,10.552369511249037,10.468697758206261,-0.14870250966857312,,
arvo,vargb_insample_inter_inter,5.4834301816576785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arvo,vargb_insample_wet_wet,7.673955338841059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
