output,driver,S1,S1_conf,ST,ST_conf,S2,S2_conf
Ci(sox2),PPFD,0.06126380086115652,0.002144649672905895,0.05216455524881211,0.0008659642637122351,,
Ci(sox2),Tair,0.2108022159847824,0.005274332284246354,0.2025179716852323,0.0027878611656521743,,
Ci(sox2),VPD,0.447446011071234,0.006752898857509137,0.39069905223968315,0.004704743940059205,,
Ci(sox2),CO2,0.42644691804089724,0.007025731933725085,0.4092862077513938,0.004817029741030538,,
Ci(sox2),Ps,0.09386921578438963,0.002929040305579512,0.0765129685286312,0.001004774970630146,,
Ci(sox2),PPFD-Tair,,,,,-0.07966889582005784,0.0030884003544693357
Ci(sox2),PPFD-VPD,,,,,-0.14069479204414198,0.0031319246534177673
Ci(sox2),PPFD-CO2,,,,,-0.07574965829108038,0.0032125310202182535
Ci(sox2),PPFD-Ps,,,,,0.014889315058361621,0.0029627619396085172
Ci(sox2),Tair-VPD,,,,,-0.17910657501005706,0.00798892026786304
Ci(sox2),Tair-CO2,,,,,-0.13466286702042068,0.008773599075019175
Ci(sox2),Tair-Ps,,,,,-0.06375845372017207,0.007559030156509061
Ci(sox2),VPD-CO2,,,,,-0.2031587193987543,0.012460824765605415
Ci(sox2),VPD-Ps,,,,,-0.08393273307405393,0.010319817216662624
Ci(sox2),CO2-Ps,,,,,-0.09557171416323741,0.00983819553523368
Ci(wue),PPFD,0.0017109519450461044,0.0008696703048824343,0.007333911354022227,0.0003179136763656219,,
Ci(wue),Tair,0.0175493114952936,0.0026719520717929613,0.08469978811630978,0.0018495467089024423,,
Ci(wue),VPD,0.41467127694036693,0.00732994809652016,0.6651989095670345,0.00758924122951094,,
Ci(wue),CO2,0.2771499878994601,0.006880517191476756,0.5169040139885503,0.006503456172817,,
Ci(wue),Ps,0.0250962672630734,0.0021471012260376628,0.05570676315691843,0.0012981219218604957,,
Ci(wue),PPFD-Tair,,,,,0.0008592296295908165,0.0013582196964256588
Ci(wue),PPFD-VPD,,,,,5.700900541799614e-05,0.0013980192579403784
Ci(wue),PPFD-CO2,,,,,-0.0003578053394552305,0.0012845059521104174
Ci(wue),PPFD-Ps,,,,,0.00018814347227381553,0.001362889975452593
Ci(wue),Tair-VPD,,,,,0.01169371195664698,0.0035157745194397006
Ci(wue),Tair-CO2,,,,,0.002068716522304337,0.003726956044376574
Ci(wue),Tair-Ps,,,,,0.003308394072139717,0.003762679754462391
Ci(wue),VPD-CO2,,,,,0.18150574838513106,0.011724417593269377
Ci(wue),VPD-Ps,,,,,0.0010895890652158381,0.008994079687513866
