doy,hod,A(std1),E(std1),gs(std1),gb(std1),Ci(std1),Tleaf(std1),Pleaf(std1),Rublim(std1),Ps(std1)
200.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
200.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
200.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
200.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
200.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
200.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
200.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
200.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
201.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
201.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
201.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
201.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
201.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
201.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
201.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
201.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
201.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
201.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
201.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
201.0,6.0,2.168919579168563,0.15012212939615815,0.02066608754222795,1000.0,24.854151714441468,7.70693803960591,-0.14303979140739162,False,-0.0016685089072025073
201.0,6.5,4.252091868764004,0.31290382272450107,0.03908513405645506,1000.0,24.243060394449945,9.13922256350648,-0.31269050874055554,True,-0.0016739902277050527
201.0,7.0,4.969929637869161,0.38816017645993084,0.0441465243027914,1000.0,23.640497450009804,10.536451917194269,-0.39751830483408773,True,-0.0016794860982555218
201.0,7.5,5.208413192451786,0.4307974577320971,0.044793253864157744,1000.0,23.052153370104257,11.887802215874743,-0.4257976012618607,True,-0.001684996548311774
201.0,8.0,5.3876647815538785,0.47070437687423816,0.044953134554054267,1000.0,22.483667096649565,13.182787531885499,-0.48235100162609157,True,-0.0016905216073727694
201.0,8.5,5.517401502078395,0.5076501478100529,0.04476032766948244,1000.0,21.940524769634568,14.411360505895926,-0.5106301861289759,True,-0.001696061304978612
201.0,9.0,5.601649515972598,0.5409664772905055,0.044285974927298466,1000.0,21.42794389551119,15.563988897145663,-0.5389093282241595,True,-0.00170161567071058
201.0,9.5,5.644664478681955,0.5700471342309585,0.0435921723254089,1000.0,20.950803337638508,16.63172963379971,-0.5671884277171597,True,-0.0017071847341911491
201.0,10.0,5.652134089170288,0.5945123118657499,0.04274246713503598,1000.0,20.513587080484562,17.606298328218934,-0.595467484412936,True,-0.0017127685250840352
201.0,10.5,5.63121790746614,0.614272297122302,0.041802692158914044,1000.0,20.12034151928972,18.48013366279231,-0.623746498115888,True,-0.0017183670730942138
