Model,training,solver,Rank,BIC,Ntotal,p1,v1,p2,v2
SOX,ManyPeaksRange_Alphitonia_excelsa,dual_annealing,2,1651.68628,326025.0,kmaxS1,0.64470986,,
Tuzet,ManyPeaksRange_Alphitonia_excelsa,differential_evolution,3,1692.67737,116886.0,g1T,1.9490856,PrefT,-9.04969614
Tuzet,ManyPeaksRange_Alphitonia_excelsa,Powell,1,1692.32103,18193.0,g1T,1.9665993,PrefT,-9.04993151
Tuzet,ManyPeaksRange_Alphitonia_excelsa,dual_annealing,2,1692.33218,916573.0,g1T,1.96683265,PrefT,-9.05
WUE-LWP,ManyPeaksRange_Alphitonia_excelsa,differential_evolution,1,1569.58492,26887.0,Lambda,73.2119885,,
WUE-LWP,ManyPeaksRange_Alphitonia_excelsa,Powell,3,1716.71006,7728.0,Lambda,6.08932788,,
WUE-LWP,ManyPeaksRange_Alphitonia_excelsa,dual_annealing,2,1585.63227,323449.0,Lambda,65.1302067,,
CAP,ManyPeaksRange_Austromyrtus_bidwillii,differential_evolution,3,323.581156,7029.0,krlC,23.7003781,PcritC,-11.9908203
CAP,ManyPeaksRange_Austromyrtus_bidwillii,Powell,2,323.571386,4719.0,krlC,47.3197958,PcritC,-11.9900997
CAP,ManyPeaksRange_Austromyrtus_bidwillii,dual_annealing,1,323.5364,223608.0,krlC,20.248839,PcritC,-11.9981483
CGainNet,ManyPeaksRange_Austromyrtus_bidwillii,differential_evolution,3,304.407168,4026.0,beta,11.2836127,,
CGainNet,ManyPeaksRange_Austromyrtus_bidwillii,Powell,2,304.212914,1617.0,beta,12.202084,,
CGainNet,ManyPeaksRange_Austromyrtus_bidwillii,dual_annealing,1,303.761415,66231.0,beta,13.1659524,,
CMax,ManyPeaksRange_Austromyrtus_bidwillii,differential_evolution,2,306.378213,9009.0,Alpha,4.97100796,Beta,6.74198777
CMax,ManyPeaksRange_Austromyrtus_bidwillii,Powell,3,306.453611,3927.0,Alpha,4.16605908,Beta,4.98929012
CMax,ManyPeaksRange_Austromyrtus_bidwillii,dual_annealing,1,306.149324,133419.0,Alpha,4.46276787,Beta,5.90322463
LeastCost,ManyPeaksRange_Austromyrtus_bidwillii,differential_evolution,1,300.566326,20988.0,kmaxLC,15.0,BoA,20.6526277
LeastCost,ManyPeaksRange_Austromyrtus_bidwillii,Powell,3,305.839114,4818.0,kmaxLC,0.27966985,BoA,249.211402
LeastCost,ManyPeaksRange_Austromyrtus_bidwillii,dual_annealing,1,300.566326,146586.0,kmaxLC,15.0,BoA,20.8584884
Medlyn-LWP,ManyPeaksRange_Austromyrtus_bidwillii,differential_evolution,1,309.579145,12177.0,sref,0.11131217,g1,2.43561313
Medlyn-LWP,ManyPeaksRange_Austromyrtus_bidwillii,Powell,3,309.579325,2178.0,sref,0.12768217,g1,2.4585754
Medlyn-LWP,ManyPeaksRange_Austromyrtus_bidwillii,dual_annealing,1,309.579145,133914.0,sref,0.11130956,g1,2.457881
MES,ManyPeaksRange_Austromyrtus_bidwillii,differential_evolution,3,323.875734,6039.0,krlM,29.2901231,PcritM,-11.9657862
MES,ManyPeaksRange_Austromyrtus_bidwillii,Powell,2,323.842727,3894.0,krlM,25.5259969,PcritM,-11.9717788
MES,ManyPeaksRange_Austromyrtus_bidwillii,dual_annealing,1,323.834177,188463.0,krlM,24.4451683,PcritM,-11.967451
ProfitMax,ManyPeaksRange_Austromyrtus_bidwillii,differential_evolution,1,302.32194,14025.0,kmax,0.91666132,,
ProfitMax,ManyPeaksRange_Austromyrtus_bidwillii,Powell,3,303.584388,2310.0,kmax,0.97962715,,
ProfitMax,ManyPeaksRange_Austromyrtus_bidwillii,dual_annealing,2,302.37081,81609.0,kmax,0.93094645,,
SOX-OPT,ManyPeaksRange_Austromyrtus_bidwillii,differential_evolution,3,310.36325,8019.0,kmaxS2,0.53846026,ksc_prev,0.53796277
SOX-OPT,ManyPeaksRange_Austromyrtus_bidwillii,Powell,2,310.339705,4719.0,kmaxS2,0.54359263,ksc_prev,0.54016692
SOX-OPT,ManyPeaksRange_Austromyrtus_bidwillii,dual_annealing,1,310.331225,134112.0,kmaxS2,0.55934019,ksc_prev,0.542585
SOX,ManyPeaksRange_Austromyrtus_bidwillii,differential_evolution,2,302.042264,3300.0,kmaxS1,0.36375673,,
SOX,ManyPeaksRange_Austromyrtus_bidwillii,Powell,2,302.042264,1254.0,kmaxS1,0.36375675,,
SOX,ManyPeaksRange_Austromyrtus_bidwillii,dual_annealing,2,302.042264,66561.0,kmaxS1,0.37094687,,
Tuzet,ManyPeaksRange_Austromyrtus_bidwillii,differential_evolution,3,314.349379,23958.0,g1T,2.63391095,PrefT,-11.9976328
Tuzet,ManyPeaksRange_Austromyrtus_bidwillii,Powell,1,314.347227,4719.0,g1T,2.64169998,PrefT,-11.9999087
Tuzet,ManyPeaksRange_Austromyrtus_bidwillii,dual_annealing,1,314.347227,194007.0,g1T,2.64170089,PrefT,-12.0
WUE-LWP,ManyPeaksRange_Austromyrtus_bidwillii,differential_evolution,2,305.655481,3036.0,Lambda,7.8490844,,
WUE-LWP,ManyPeaksRange_Austromyrtus_bidwillii,Powell,3,305.749538,2574.0,Lambda,7.80980674,,
WUE-LWP,ManyPeaksRange_Austromyrtus_bidwillii,dual_annealing,1,305.416985,67023.0,Lambda,7.88093699,,
CAP,ManyPeaksRange_Brachychiton_australis,differential_evolution,3,1180.76111,9984.0,krlC,80.0,PcritC,-4.94269261
CAP,ManyPeaksRange_Brachychiton_australis,Powell,2,1180.65689,17472.0,krlC,59.0443532,PcritC,-4.93155955
CAP,ManyPeaksRange_Brachychiton_australis,dual_annealing,1,1180.50591,486616.0,krlC,67.194321,PcritC,-5.12089964
CGainNet,ManyPeaksRange_Brachychiton_australis,differential_evolution,2,1122.53085,8008.0,beta,18.4464322,,
CGainNet,ManyPeaksRange_Brachychiton_australis,Powell,3,1123.72566,8528.0,beta,17.9004061,,
CGainNet,ManyPeaksRange_Brachychiton_australis,dual_annealing,1,1120.42074,210184.0,beta,10.6590666,,
CMax,ManyPeaksRange_Brachychiton_australis,differential_evolution,1,1125.06699,19032.0,Alpha,23.3257739,Beta,4.56187191
CMax,ManyPeaksRange_Brachychiton_australis,Powell,2,1125.52289,18200.0,Alpha,21.1819571,Beta,6.09736922
CMax,ManyPeaksRange_Brachychiton_australis,dual_annealing,3,1125.90493,420784.0,Alpha,12.6845708,Beta,0.19793035
LeastCost,ManyPeaksRange_Brachychiton_australis,differential_evolution,3,1128.13972,59592.0,kmaxLC,2.28913782,BoA,222.908859
LeastCost,ManyPeaksRange_Brachychiton_australis,Powell,2,1128.02735,16640.0,kmaxLC,2.23440466,BoA,208.77831
LeastCost,ManyPeaksRange_Brachychiton_australis,dual_annealing,1,1128.02107,560248.0,kmaxLC,2.23266977,BoA,202.697886
Medlyn-LWP,ManyPeaksRange_Brachychiton_australis,differential_evolution,1,1129.16318,40560.0,sref,1.76462128,g1,12.4999052
Medlyn-LWP,ManyPeaksRange_Brachychiton_australis,Powell,3,1129.16516,17680.0,sref,1.76858457,g1,12.4759463
Medlyn-LWP,ManyPeaksRange_Brachychiton_australis,dual_annealing,1,1129.16318,422656.0,sref,1.76462098,g1,12.4855522
MES,ManyPeaksRange_Brachychiton_australis,differential_evolution,3,1180.19581,40872.0,krlM,45.8337277,PcritM,-5.14212513
MES,ManyPeaksRange_Brachychiton_australis,Powell,2,1180.16505,9984.0,krlM,80.0,PcritM,-5.14459821
MES,ManyPeaksRange_Brachychiton_australis,dual_annealing,1,1180.16228,532168.0,krlM,77.4915347,PcritM,-5.15
ProfitMax,ManyPeaksRange_Brachychiton_australis,differential_evolution,2,1122.62353,23504.0,kmax,7.04874,,
ProfitMax,ManyPeaksRange_Brachychiton_australis,Powell,3,1123.12044,10192.0,kmax,6.35796951,,
ProfitMax,ManyPeaksRange_Brachychiton_australis,dual_annealing,1,1121.37744,249496.0,kmax,5.51156876,,
SOX-OPT,ManyPeaksRange_Brachychiton_australis,differential_evolution,3,1128.86692,15912.0,kmaxS2,3.21930244,ksc_prev,1.13657416
SOX-OPT,ManyPeaksRange_Brachychiton_australis,Powell,2,1128.82726,11856.0,kmaxS2,3.27384804,ksc_prev,1.46704532
SOX-OPT,ManyPeaksRange_Brachychiton_australis,dual_annealing,1,1128.78338,424216.0,kmaxS2,3.3509165,ksc_prev,1.4679287
SOX,ManyPeaksRange_Brachychiton_australis,differential_evolution,2,1126.19983,8840.0,kmaxS1,2.12633308,,
SOX,ManyPeaksRange_Brachychiton_australis,Powell,2,1126.19983,3640.0,kmaxS1,2.12633127,,
SOX,ManyPeaksRange_Brachychiton_australis,dual_annealing,2,1126.19983,209768.0,kmaxS1,2.14901099,,
Tuzet,ManyPeaksRange_Brachychiton_australis,differential_evolution,3,1157.22905,60528.0,g1T,8.69990488,PrefT,-5.14102001
Tuzet,ManyPeaksRange_Brachychiton_australis,Powell,2,1157.12577,14144.0,g1T,8.58546634,PrefT,-5.14996148
