Corrigin_Eucalyptus_capillosa,ManyPeaksRange_Alphitonia_excelsa,ManyPeaksRange_Austromyrtus_bidwillii,ManyPeaksRange_Brachychiton_australis,ManyPeaksRange_Cochlospermum_gillivraei,Parque_Natural_Metropolitano_Calycophyllum_candidissimum,Puechabon_Quercus_ilex,Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,San_Lorenzo_Carapa_guianensis,San_Lorenzo_Tachigali_versicolor,San_Lorenzo_Tocoyena_pittieri,Sevilleta_Juniperus_monosperma,Sevilleta_Pinus_edulis,Vic_la_Gardiole_Quercus_ilex,mean,mean_se,median,overall,model,variable
0.30928807354273524,0.9125598322074097,0.6092790737997094,0.8162384205368641,0.6913550169942644,0.6855986949937192,0.26398271109542554,0.1617700194653641,0.3420725210033852,0.396266436302127,0.3797322053461974,0.3706516810423513,0.6091082635937948,0.2971226789914745,0.38554084399914546,0.2896471286014015,,,,0.4825482126062333,cap,gs
0.2878916781904905,0.9467771846489642,0.6371247318476853,0.9790073894270024,0.7029190848007072,0.5243960913583021,0.2807138569466401,0.15595735850275752,0.2728880258243525,0.3878105734267972,0.41743390402224867,0.32527671619055526,0.48973119891119354,0.30703771789821555,0.40574714146609403,0.2891823386399093,,,,0.4825457640376515,mes,gs
0.2946343567200765,,,,,0.1892683109098984,0.1988512196835053,0.09128381979711242,0.09121162626609011,0.16424773423223435,0.2772291236299736,0.10875938704863133,0.3205976818590153,0.18539950807199893,0.31378071789422013,0.2271436041288636,,,,0.1995586534754034,std,Ci
0.36670512050311316,,,,,0.20395754301232938,0.21606726808016208,0.08220404940330307,0.08505025380561389,0.15748180229531167,0.277143582256447,0.11221197011928065,0.32664712493161463,0.2907854712164372,0.2995413113846006,0.2420215617729211,,,,0.22368222401491283,tuz,Ci
0.22009216829285658,,,,,0.18111936006368773,0.16717262034062755,0.07334838664716775,0.08358774669125602,0.13633353923744812,0.2687267237726009,0.11284670706806538,0.30651394703848306,0.1482758427219502,0.28207911863201013,0.19017662215557984,,,,0.17021738256729085,sox1,Ci
0.19557701178776885,,,,,0.20819802100232634,0.18393020768003054,0.07684847085119179,0.08861607556710652,0.13861841061410698,0.2692462276793734,0.11516446037503625,0.28546005760305254,0.18965450842383275,0.3208845953243824,0.20250635613938897,,,,0.1828190292105412,sox2,Ci
0.29582410259161973,,,,,0.1717762064825373,0.1837631629457388,0.08916828618908178,0.09211900969517066,0.14414711228517677,0.27564008998597506,0.11404638728371011,0.3024871915284137,0.19834307134987694,0.29591505341716406,0.19337226390292336,,,,0.1940862585157537,wue,Ci
0.2445291935178727,,,,,0.19953395713374353,0.21860138505064974,0.0933814211691873,0.10636662883422802,0.17254805260517966,0.2311839387194871,0.10532613004205828,0.23785612770568137,0.5015254941177415,0.4656759353254271,0.2735411305636917,,,,0.2714302822492897,cmax,Ci
0.19305735726790857,,,,,0.19912679945992492,0.17459186236716762,0.07563071481239571,0.08190899459111117,0.13699381363203328,0.26237149751892186,0.1106518558240756,0.2856821455531358,0.18182815819998085,0.3122164656669842,0.20460828402749087,,,,0.17783192851590893,pmax,Ci
0.2917477260953143,,,,,0.2020326736982021,0.18896181509518614,0.08144279590143953,0.08483006321173354,0.14482910957196996,0.2726937437546693,0.10435259425003748,0.2966583107564756,0.2038232370496233,0.32538038744708314,0.22143444870238732,,,,0.19901546717282134,cgn,Ci
0.19638735391181356,,,,,0.18096239094768163,0.1648078775957933,0.07734661201585692,0.08385464434208022,0.13825638801072557,0.2530395991027127,0.108067999805518,0.3079697513007664,0.1611099805523925,0.2909072499067591,0.18549980559651297,,,,0.17063066510242003,pmax2,Ci
0.1905984984920672,,,,,0.19380954404279765,0.18612114605932362,0.08318721433298358,0.08743411360912608,0.13845679653177168,0.23599490650381982,0.11780871390821948,0.30023339792926834,0.16887186987713557,0.30595163365115374,0.1990873165680566,,,,0.17598771043724964,lcst,Ci
0.4822970148568977,,,,,0.18657777853942875,0.32680151317717354,0.11278416207894373,0.10412644625473787,0.20927393063068694,0.476907959223214,0.1438153249176763,0.35467530106227185,0.39305553873026655,0.3283329413471826,0.2777319988399162,,,,0.2833727852613416,cap,Ci
0.45298315191859645,,,,,0.2825942227160208,0.3121302209211227,0.10130224783703573,0.10848569141272006,0.20108830074348027,0.5135552825046119,0.17689662071748158,0.3902943297230698,0.3611466953572207,0.32031420095909546,0.27309140933707143,,,,0.27825564725608815,mes,Ci
,,,,,,,,,,,,,,,,,,,,std,Pleaf
,0.5602763804982713,0.541195368373558,0.2110876609122948,0.3081594855057167,0.9964335075397878,0.25127883329245565,0.13704485576595302,0.43199112361778375,0.3208611265664508,0.3622147547946136,0.2707608649492994,0.31927289794891245,0.12673665158031108,0.17406480839710967,0.3272802910072294,,,,0.8482609630589701,tuz,Pleaf
