Corrigin_Eucalyptus_capillosa,ManyPeaksRange_Alphitonia_excelsa,ManyPeaksRange_Austromyrtus_bidwillii,ManyPeaksRange_Brachychiton_australis,ManyPeaksRange_Cochlospermum_gillivraei,Parque_Natural_Metropolitano_Calycophyllum_candidissimum,Puechabon_Quercus_ilex,Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,San_Lorenzo_Carapa_guianensis,San_Lorenzo_Tachigali_versicolor,Sevilleta_Juniperus_monosperma,Sevilleta_Pinus_edulis,Vic_la_Gardiole_Quercus_ilex,mean,median,model,variable
0.6927580281883731,0.6365164075698069,0.5484843508114868,0.543250978579516,0.911189389462106,0.6197436001943569,0.31746248066639704,0.5053349861806484,0.4569558278506856,0.469505276887247,0.39423669411531126,0.7587869461851341,0.7361674561490392,0.4332888306594963,0.28641242236029024,0.5540062450573264,0.5458676646955014,mes,E
0.27703790061388867,0.7246439263993356,0.6363027048184717,0.4421128201723625,0.4070919701390573,0.4852898725979374,0.3915653857196489,0.46743721536686667,0.5092983081372043,0.4112096053771139,0.42483061072236483,0.2785760129210092,0.6994533681062323,0.6194174134859517,0.37902413965445714,0.4768860836154601,0.4547750177696146,std2,A
0.5270798436612165,0.7065949358433775,0.8158569526043771,0.3880946194225373,0.4409131713989917,0.6306237738629322,0.3650353474926685,0.33461322382234265,0.5118067460363922,0.32877349415639223,0.45062267417665125,0.2895068194642649,0.9818070708815122,0.8147413909592183,0.5782960676107212,0.5442910754262397,0.5194432948488044,tuz,A
0.2638534517551012,0.7101714438938563,0.6010727594351498,0.41112424310915796,0.42361770112973424,0.5455937283291827,0.3174915515211955,0.4528699394073145,0.5238787131608422,0.43328048353874343,0.4128776187716512,0.2814977315359929,0.6549843408891203,0.6672636795983906,0.4100506984702185,0.47397520563637663,0.443075211473029,sox1,A
0.26577451087377213,0.7226377349329092,0.6095744213291205,0.422678728263457,0.64608105292993,0.5388834981050609,0.35357546173113774,0.42740791619910407,0.5165912250026203,0.41277893480977,0.4088669058786965,0.274728685854754,0.7589216398790803,0.6781511203136421,0.4014525277907106,0.49587362425958437,0.46164077022934424,sox2,A
0.44098626732446683,0.8426856877301119,0.6689573299038069,0.4207850037037351,0.9185852734900126,0.569518817394586,0.5469963869242623,0.34159929299556197,0.4940969099007215,0.26654711681016713,0.3969147823674836,0.3047230408621306,1.143722936395729,1.0177795519298698,0.46901217644675897,0.5895273716119603,0.5205466484124919,wue,A
0.392856231558234,0.7484527696303405,0.6446083514782975,0.4012908375446897,0.9034482475073368,0.6721965701917375,0.3457729876656851,0.3094213816704512,0.47463684685129826,0.262718619010534,0.4609138237632607,0.5688204275485236,0.5378863098201007,0.5319303011169346,0.3298983277878355,0.505656802209684,0.49014682453049113,cmax,A
0.26638927917683825,0.7191021782232708,0.6164193731890822,0.4161679355984972,0.7120632298547183,0.5416158783039372,0.3520603800930978,0.4426383493586976,0.5176549694189462,0.42809783822772984,0.4039608827660209,0.2777457672014286,0.7332856473915722,0.6659121217316479,0.41563953077075655,0.500583557420416,0.47161095338955683,pmax,A
0.261984486908492,0.7108276226531052,0.5990059125361081,0.3872838706001941,0.7671986971794514,0.5845755828621869,0.37009571084473913,0.4465854679172478,0.5319946938454064,0.41441462378895233,0.4129455305985603,0.3569206118636722,0.8576249969378841,0.7349282370367025,0.40657450132550993,0.5228640364598808,0.48472475218856426,pmax2,A
0.2774451987304304,0.7322973552362703,0.6064840749383176,0.43842017370230396,0.7527197102204012,0.5397924976419181,0.3481944872917745,0.44124810078890003,0.5214561728574967,0.4299678583854312,0.4091448594321314,0.27558319653221247,0.6842969739944714,0.5983821968139834,0.3668632287466104,0.4948197390208436,0.4680339199048718,cgn,A
0.2888765274796694,0.7194788420574069,0.6044066818301023,0.3805506041307124,0.4012354790351928,0.5092742527875598,0.3559949801654407,0.4007220272715092,0.5124840023174779,0.40626520444219116,0.40638219571772355,0.26815872217520487,0.8316655693730202,0.7245273433024101,0.42412881984751133,0.48227675012887544,0.41525550778261744,lcst,A
0.7618376208895481,0.6971550543413497,0.5823725573480912,0.38588465747152156,0.596556887150369,0.6801628127271012,0.31381318964221694,0.3733593242808855,0.5121049829797909,0.41655868437585963,0.5765663765387956,0.5784710809291209,0.35859781327770257,0.5576808291774712,0.33542583201952897,0.5151031802099567,0.536392004693714,cap,A
0.7308614967263348,0.7079929172179958,0.5616424038037712,0.4367725309516681,0.7914968610876182,0.6784453446133955,0.3608337508919102,0.41651947501387104,0.5418859208680943,0.42326957042010616,0.588862444270608,0.8034724277077283,0.6248195808888998,0.48484741353968885,0.35015221658455575,0.5667916236390831,0.5642170137214271,mes,A
